id,question,theme
65,Who was blamed for Luckett and Roberson leaving Destiny's Child?,Beyoncé
66,Which newest member was removed from Destiny's Child?,Beyoncé
67,"Their third album, Survivor, sold how many during its first week?",Beyoncé
68,What album caused a lawsuit to be filed in 2001?,Beyoncé
69,Which film did Beyoncé star in 2001 with Mekhi Phifer?,Beyoncé
70,What was the name of Destiny Child's third album?,Beyoncé
71,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?",Beyoncé
72,Beyonce starred with Cuba Gooding Jr. in which film?,Beyoncé
73,Which other song from the soundtrack did better in the charts?,Beyoncé
74,"What large amount did the movie ""Goldmember"" gross?",Beyoncé
75,What song was the lead single from the film's sound track?,Beyoncé
76,What film did Beyoncé star in with Mike Myers in 2002?,Beyoncé
77,What was Beyoncé's character called in Austin Powers in Goldmember?,Beyoncé
78,Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,Beyoncé
79,"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?",Beyoncé
80,What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,Beyoncé
81,Beyonce's first album by herself was called what?,Beyoncé
82,Beyonce's first solo album in the U.S. with what artist in the lead single?,Beyoncé
83,What solo album did Beyonce release in 2003?,Beyoncé
84," The album, Dangerously in Love  achieved what spot on the Billboard Top 100 chart?",Beyoncé
85,"""The Closer I get to You"" was recorded with which artist?",Beyoncé
86,When did Beyoncé release her first solo album?,Beyoncé
87,How many awards did Beyoncé win at the 46th Grammy's Awards?,Beyoncé
88,Destiny's Child's final album was named what?,Beyoncé
89,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,Beyoncé
90,In what year did Beyonce embark on her Dangerously in Love tour of Europe?,Beyoncé
91,What was the name of the final album of Destiny's Child?,Beyoncé
92,It was announced that Destiny's Child would  disban in what European city?,Beyoncé
93,When did Destiny's Child get their star on the Hollywood Walk of Fame?,Beyoncé
94,What was the name of Beyoncé's European start that started in November 2003?,Beyoncé
95,Who did Beyoncé tour with for the Verizon Lades First Tour?,Beyoncé
96,"What major event did Beyoncé perform at on February 1, 2004?",Beyoncé
97,What is the name of the final studio album from Destiny's Child?,Beyoncé
98,How many albums did Beyonce sell in the first week when she released her second album?,Beyoncé
99,The lead single from the album was which song?,Beyoncé
100,"How many countries did her song ""Irreplaceable"" get number one status in?",Beyoncé
101,"What artist did Beyonce duet with in the single, ""Deja Vu''?",Beyoncé
102,How high did ''Deja Vu'' climb on the Billboard chart?,Beyoncé
103,What is the name of Beyoncé's second album?,Beyoncé
104,How many copies did B'Day sell during the first week of its release?,Beyoncé
105,"Who collaborated with Beyoncé on the single, Deja Vu?",Beyoncé
106,Which single from B'Day was only released in the U.K.?,Beyoncé
107,What movie did Beyonce act in 2006?,Beyoncé
108,Her second movie Beyonce did was what film?,Beyoncé
109,Beyonce's first world tour was when?,Beyoncé
110,How much money did Beyonce's tour make in 2007?,Beyoncé
111,How many millions of dollars did ''The Pink Panther'' gross world-wide?,Beyoncé
112,Who was Beyonce's duet with in ''Beautiful Liar''?,Beyoncé
113,What was the lead single for the Dreamgirls soundtrack?,Beyoncé
114,What pop singer did a duet with Beyoncé on Beautiful Liar?,Beyoncé
115,Beyonce got married in 2008 to whom?,Beyoncé
116,"Her third album, ""I am...Sasha Fierce"" was released when?",Beyoncé
117,Which singer beat out Beyonce for best video performance?,Beyoncé
118,"In 2009, Beyonce started her second world tour and grossed how much money?",Beyoncé
119,How did she reveal the marriage?,Beyoncé
120,Who beat out Beyonce for Best Female Video ?,Beyoncé
121,When did Beyoncé get married?,Beyoncé
122,Who did Beyoncé marry?,Beyoncé
123,Who is Beyoncé's alter ego?,Beyoncé
124,Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?,Beyoncé
125,"Beyonce portrayed which character in the film, Cadillac Records?",Beyoncé
126,Beyonce gave her entire salary from Cadillac Records to which organization?,Beyoncé
127,"What genre of film was the movie, Obsessed, in which Beyonce starred in?",Beyoncé
128,Where did Beyonce donate her salary from the movie Cadillac Records?,Beyoncé
129,What thriller film did Beyonce star in?,Beyoncé
130,Which singer did Beyoncé portray in Cadillac Records?,Beyoncé
131,Which organization received Beyoncé's entire Cadillac Records salary?,Beyoncé
132,Which thriller film did Beyoncé star in with Ali Larter?,Beyoncé
133,"In 2010, Beyonce worked with which other famous singer?",Beyoncé
134,"How many number one singles did Beyonce now have after the song ""Telephone""?",Beyoncé
135,Beyonce tied who for most number one singles by a female?,Beyoncé
136,Beyonce received how many nominations at the 52nd Annual Grammy Awards?,Beyoncé
137,Who else appeared with Beyonce in Telephone?,Beyoncé
138,Who did they tie with for six top songs?,Beyoncé
139,Who did Beyonce tie with for the most nominations in a year?,Beyoncé
140,Who did Beyoncé tie with for the most Grammy nominations for female artists?,Beyoncé
141,"Beyoncé was a featured artist on which singer's hit, Telephone?",Beyoncé
142,Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,Beyoncé
143,Beyonce would take a break from music in which year?,Beyoncé
144,Which year did Beyonce and her father part business ways?,Beyoncé
145,Which famous landmark did Beyonce see in China?,Beyoncé
146,In what year did Beyonce have her hiatus?,Beyoncé
147,Who inspired this hiatus?,Beyoncé
148,When did she stop using her father as a manager?,Beyoncé
149,What did Beyoncé announce in January 2010?,Beyoncé
150,Who suggested the hiatus for Beyoncé?,Beyoncé
151,Who did Beyoncé part ways with during her hiatus?,Beyoncé
152,How long did her hiatus last?,Beyoncé
153,In which year was reports about Beyonce performing for Muammar Gaddafi surface?,Beyoncé
154,Who did Beyonce donate the money to earned from her shows?,Beyoncé
155,Which organization did Beyonce's spokespeople confirm her donations to?,Beyoncé
156,Hoe did everyone learn that Beyonce performed for Kaddafi?,Beyoncé
157,Who did she tell about the donation?,Beyoncé
158,Where did Beyonce perform in 2011?,Beyoncé
159,Who did Beyoncé perform privately for in 2011?,Beyoncé
160,Who released the information about Beyoncé's performance for the Libyan ruler?,Beyoncé
161,Which organization did Beyoncé donate her pay for the private performance to?,Beyoncé
162,Which single had the most success from that album?,Beyoncé
163,"in 2011, Beyonce performed for four nights where?",Beyoncé
164,When was Beyonce's forth album released?,Beyoncé
165,How many copies did the album sell in its first week?,Beyoncé
166,Who awarded Beyonce and award for writing?,Beyoncé
167,When did she perform at the Roseland ballroom?,Beyoncé
168,What is the name of Beyoncé's fourth studio album?,Beyoncé
169,When was 4 released?,Beyoncé
170,What magazine did Beyoncé write a story for about her earlier hiatus?,Beyoncé
171,Where did Beyoncé perform for four nights of standing room only concerts in 2011?,Beyoncé
172,Where did Beyonce give birth to her first child?,Beyoncé
173,Her first appearance performing since giving birth was where?,Beyoncé
174,What was the child's name?,Beyoncé
175,How many nights did she perform at Atlantic City?,Beyoncé
176,When did Beyoncé give birth to a daughter?,Beyoncé
177,What did Beyoncé name her daughter?,Beyoncé
178,Where was Blue Ivy born?,Beyoncé
179,Where was Beyoncé's first public performance after giving birth?,Beyoncé
180,Destiny's Child released a compilation album about which topic?,Beyoncé
181,Beyonce's documentary movie was called what?,Beyoncé
182,What did Beyonce sign in 2013?,Beyoncé
183,What was the title of the added track in Love Songs?,Beyoncé
184,At whose inauguration did she perform the National Anthem?,Beyoncé
185,When did Destiny's Child release Love Songs?,Beyoncé
186,What was the new track for Love Songs?,Beyoncé
187,What did Beyoncé sing at President Obama's second inauguration?,Beyoncé
188,What event did Beyoncé perform at one month after Obama's inauguration? ,Beyoncé
189,What is the name of Beyoncé's documentary film?,Beyoncé
190,"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",Beyoncé
191,One of Beyonce's most successful tours yet was which one?,Beyoncé
192,"Beyonce wrote which song for the movie ""Epic""?",Beyoncé
193,Beyonce voiced a character in which animated film?,Beyoncé
194,When did the tour begin?,Beyoncé
195,What part did she voice for the movie Epic?,Beyoncé
196,How many dates did the Mrs. Carter Show World Tour have?,Beyoncé
197,Which Amy Winehouse song did Beyoncé cover and release in May 2014?,Beyoncé
198,Where did Beyonce release her 5th album to a huge surprise?,Beyoncé
199,Where was the album released? ,Beyoncé
200,Who reported Beyonce to e the top earning woman in music?,Beyoncé
201,How much more were her earnings that the year before?,Beyoncé
202,When did Beyoncé release her fifth studio album?,Beyoncé
203,What song on Beyoncé's fifth studio album featured her husband?,Beyoncé
204,What was the name of the tour featuring both Beyoncé and Jay Z?,Beyoncé
205,How many awards did Beyonce take home with her at the 57th Grammy Awards?,Beyoncé
206,Which magazine did Beyonce pose on the cover for in August of 2015?,Beyoncé
207,Beyonce took home how many awards at the 57th Grammy Awards?,Beyoncé
208,Beyonce lost to which artist for Album of the year?,Beyoncé
209,"If Beyonce won three Grammies in 2015, how many was she nominated for?",Beyoncé
210,On what magazine was she the cover model?,Beyoncé
211,With what British band did Beyonce perform on their album?,Beyoncé
212,"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",Beyoncé
213,Beyonce's new single released before the super bowl was called what?,Beyoncé
214,How was the single released?,Beyoncé
215,What was the name of the streaming service?,Beyoncé
216,What kind of platform was the song released?,Beyoncé
217,When did Beyoncé release Formation?,Beyoncé
218,"Where did Beyoncé exclusively release her single, Formation?",Beyoncé
219,Where did Beyonce become pregnant?,Beyoncé
220,"Beyonce described what as the ""hardest thing she had to endure""?",Beyoncé
221,When were Beyonce and Jay Z married?,Beyoncé
222,Together how records have they sold ?,Beyoncé
223,How did Beyonce deal with the miscarriage of her child?,Beyoncé
224,"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?",Beyoncé
225,When were Beyoncé and Jay Z married?,Beyoncé
226,How many records combined have Beyoncé and Jay Z sold?,Beyoncé
227,Where did Beyoncé get pregnant?,Beyoncé
228,Jay Z and Beyonce attended which event together in August of 2011?,Beyoncé
229,Beyonce confirmed what after performing one of her songs?,Beyoncé
230,Where did she announce her pregnancy?,Beyoncé
231,Why was the broadcast the most-watched in history?,Beyoncé
232,What even was recorded in the Guinness World Records?,Beyoncé
233,What song did she perform at the MTV Awards?,Beyoncé
234,Where did Beyoncé announce her pregnancy?,Beyoncé
235,How many people watched the 2011 MTV Video Music Awards?,Beyoncé
236,Which song by Jay Z talked about the pregnancy struggles?,Beyoncé
237,What was the name of Beyonce's daughter?,Beyoncé
238,At what hospital was the baby delivered?,Beyoncé
239,What was the named of the song  dedicated to the child?,Beyoncé
240,What does B.I.C. stand for?,Beyoncé
241,Who was credited for her cries on the song?,Beyoncé
242,When did Beyoncé give birth to her daughter?,Beyoncé
243,How was Blue Ivy credited on Glory?,Beyoncé
244,Beyonce and Jay-Z went to a rally for the acquittal of whom?,Beyoncé
245,Beyonce sang which song during the 2009 presidential inauguration?,Beyoncé
246,How much did Beyonce raise for Obama at the 40/40 Club?,Beyoncé
247,"What did she endorse on March 26, 2013?",Beyoncé
248,What did they attend in July 2013?,Beyoncé
249,What did she sing at the 2009 Presidential Inauguration?,Beyoncé
250,What song did Beyoncé perform at the first inaugural dance for the Obamas.,Beyoncé
251,"When did Beyoncé endorse on March 26, 2013?",Beyoncé
252,Beyonce did an interview with which magazine and was asked about feminism?,Beyoncé
253,Beyonce supported which campaign that encourages leadership in girls?,Beyoncé
254,When did she say the she is a feminist?,Beyoncé
255,What campaign did she contribute to?,Beyoncé
256,What song did she release in 2013 in response to a speech?,Beyoncé
257,What does Ban Bossy encourage?,Beyoncé
258,"Beyoncé used words from which Nigerian author in her song, Flawless?",Beyoncé
259,Beyonce signed a letter with who in 2015?,Beyoncé
260,An important UN summit took place when?,Beyoncé
261,The letter Beyonce signed focused on what issue?,Beyoncé
262,What had to be set in developing funding?,Beyoncé
263,When did Beyonce sign a letter for ONE Campaign?,Beyoncé
264,To whom was the letter addressed?,Beyoncé
265,Who are these women?,Beyoncé
266,Who did Beyoncé sign a letter for in 2015?,Beyoncé
267,What was Angela Merkel serving as in relation to the letter?,Beyoncé
268,What did the letter want the two recipients to focus on?,Beyoncé
269,Beyonce with Jay Z gave lots of money to bail who out of prison?,Beyoncé
270,Who's death caused this protest?,Beyoncé
271,How much bail money did they spend?,Beyoncé
272,Beyonce beat out which musical artists for most paid between June 2007 and June 2008?,Beyoncé
273,Beyonce became the highest-paid black musician in which year?,Beyoncé
274,"Up until May of 2015, how much is Beyonce's total worth?",Beyoncé
275,When did she and Jay Z become the highest paid black celebrity couple?,Beyoncé
276,How much did she earn in 2014?,Beyoncé
277,"Who began reporting Beyoncé's annual earnings, starting in 2008?",Beyoncé
278,Who predicted that Beyoncé would become the highest paid black entertainer?,Beyoncé
279,Beyonce's range in singing is how many octaves?,Beyoncé
280,who talked about Beyonce's tone and timbre as distinctive?,Beyoncé
281,"Which critic called Beyonce's voice ""versatile""?",Beyoncé
282,Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,Beyoncé
283,What do other critics claim?,Beyoncé
284,How many octaves does Beyoncé's voice span?,Beyoncé
285,Why is Beyoncé known as the centerpiece of Destiny's Child?,Beyoncé
286,New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?,Beyoncé
287,What does Jody Rosen say influenced Beyoncé's vocal style?,Beyoncé
288,Music from Beyonce is generally categorized as what genre?,Beyoncé
289,"Besides R&B, which genres does Beyonce dabble in?",Beyoncé
290,"Beyonce mostly releases English songs, but what other language did she release songs?",Beyoncé
291,Spanish songs Beyonce released were for what?,Beyoncé
292,Beyonce was coached for her Spanish songs by which American?,Beyoncé
293,What language does she mainly sing?,Beyoncé
294,What other language has she sung?,Beyoncé
295,What style of music does Beyoncé usually perform?,Beyoncé
296,What language did Beyoncé release several songs in?,Beyoncé
297,Who coached Beyoncé for her Spanish recordings?,Beyoncé
298,What album did the Spanish songs come from?,Beyoncé
299,Beyonce does not create which aspect of her music?,Beyoncé
300,What theme was Beyonce's early music?,Beyoncé
301,What does she get credits for in her music?,Beyoncé
302,Beyoncé's early recordings empowered who?,Beyoncé
303,"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?",Beyoncé
304,"Rather than beats, what two things does Beyoncé usually come up with for producers?",Beyoncé
305,Beyonce has the same number of writing credits on number one singles as whom?,Beyoncé
306,Beyonce joined 2 other women on what list from Billboard magazine in 2011?,Beyoncé
307,When did Beyonce become the first African American woman to win Pop songwriter of the year?,Beyoncé
308,"What did Beyoncé win in 2001, making her the first black woman to do so?",Beyoncé
309,Who gave Beyoncé the Pop Songwriter of the Year award in 2001?,Beyoncé
310,"Beyoncé was one of how many women on Billboard magazine's 2011 ""Top 20 Hot 100 Songwriters"" list.",Beyoncé
311,What number was Beyoncé on the Top 20 Hot 100 Songwriters list?,Beyoncé
312,To whom did Beyonce credit as her major influence on her music?,Beyoncé
313,How old was Beyonce when she went to her first Michael Jackson concert as a kid?,Beyoncé
314,Beyonce gave a tribute award to who in 2006?,Beyoncé
315,Beyonce cites Mariah Carey to making her want to start doing what?,Beyoncé
316,Who influenced Beyonce?,Beyoncé
317,What song by Mariah Carey influenced her?,Beyoncé
318,What was Beyoncé's first concert?,Beyoncé
319,Who does Beyoncé feel is an all-around entertainer?,Beyoncé
320,"Who does she credit for the inspiration to ""get up there and do what she did""?",Beyoncé
321,What song caused Beyoncé to practice runs as a child?,Beyoncé
322,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",Beyoncé
323,Who motivated Beyonce to explore other areas of music?,Beyoncé
324,What movie influenced Beyonce towards empowerment themes? ,Beyoncé
325,How did Etta James influence her?,Beyoncé
326,Where did she perform wearing Baker's hula skirt?,Beyoncé
327,What singer inspired Beyoncé's B'Day album?,Beyoncé
328,What song did Beyoncé sing at a 2006 concert to honor Josephine Baker?,Beyoncé
329,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",Beyoncé
330,Who personally influences Beyonce?,Beyoncé
331,How does she describe Jean- Michel Basquiat?,Beyoncé
332,How does Madonna influence her?,Beyoncé
333,How does she describe Jay Z?,Beyoncé
334,"Who inspires Beyoncé because ""she does it all?""",Beyoncé
335,Who does Beyoncé describe as the definition of inspiration?,Beyoncé
336,Who inspired Beyoncé to take control of her career?,Beyoncé
337,Beyonce had singers in the background known by the name as?,Beyoncé
338,The Mamas first appearance was when?,Beyoncé
339,What band did Beyonce introduce in 2006?,Beyoncé
340,What song name does the band Suga Mama  and a song on the B'Day album share?,Beyoncé
341,What band supports Beyonce in her tours?,Beyoncé
342,What is the name of Beyoncé's female tour band?,Beyoncé
343,Suga Mama is also a song on which Beyoncé album?,Beyoncé
344,What are Beyoncé's backup singers called?,Beyoncé
345,What characteristics has Beyonce received acclaim for?,Beyoncé
346,Which former president of Def Jam called Beyonce the greatest entertainer alive?,Beyoncé
347,For what does Beyonce receive praise?,Beyoncé
348,How does Alice Jones describe her?,Beyoncé
349,Who has said that Beyoncé is the best entertainer alive?,Beyoncé
350,Beyonce self proclaimed alter ego is named what?,Beyoncé
351,What year did Beyonce do away with Sasha Fierce?,Beyoncé
352,Beyonce brought back Sasha Fierce during which event?,Beyoncé
353,How does she describe Sasha?,Beyoncé
354,Later what did she say about Sasha?,Beyoncé
355,What is the name of Beyoncé's alter ego?,Beyoncé
356,Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?,Beyoncé
357,Beyonce's sex appeal is characterized as what?,Beyoncé
358,Which word spawned from a term used to describe Beyonce in 2006?,Beyoncé
359,Bootylicious was a song from which act that Beyonce performed with?,Beyoncé
360,Oxford Dictionary added which word from the 2000s dedicated to Beyonce?,Beyoncé
361,When was the term added to the dictionary?,Beyoncé
362,"What journalist wrote that Beyoncé was a ""sex symbol""?",Beyoncé
363,"Because of Beyoncé's physical shape, what slang term has been used to describe her?",Beyoncé
364,How does Beyoncé say she likes to dress off-stage?,Beyoncé
365,Beyonce's first modelling event was at where?,Beyoncé
366,"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?",Beyoncé
367,Which month and year did GQ feature Beyonce on its cover?,Beyoncé
368,What TV network listed Beyonce as number 1 on its 100 Sexiest Artists list?,Beyoncé
369,Who called Beyonce the World's most Beautiful Woman?,Beyoncé
370,Who called her Hottest Female Singer of all Time?,Beyoncé
371,VH1 listed her at what number on their 100 Sexiest Artists list?,Beyoncé
372,What year did Beyoncé first model for Tom Ford?,Beyoncé
373,What title did Complex award Beyoncé?,Beyoncé
374,What museum has made several models of Beyoncé in wax?,Beyoncé
375,Which parent of Beyonce's help co-write a book?,Beyoncé
376,When was she on the Sports Illustrated cover?,Beyoncé
377,Who was she the second  African American on the cover after?,Beyoncé
378,"What magazine said Beyoncé was the ""best-dressed celebrity""?",Beyoncé
379,"Before the Bey Hive, fans of Beyonce were called what?",Beyoncé
380,Which social media company proclaimed Beyonce fans are know as the Bey Hive?,Beyoncé
381,What is Beyonce's fan base called?,Beyoncé
382,What did the fans used to be called?,Beyoncé
383,Beyonce has a clothing line known as what?,Beyoncé
384,Which French magazine did Beyonce show up on the cover of?,Beyoncé
385,Beyonce was seen wearing what on the french magazine that caused controversy?,Beyoncé
386,Which year did PETA spark controversy with Beyonce?,Beyoncé
387,What did PETA criticize Beyonce for in 2006?,Beyoncé
388,How was she dressed on the cover of L'Officiel?,Beyoncé
389,What French magazine did Beyoncé appear in wearing blackface and tribal makeup?,Beyoncé
390,What clothing line of Beyoncé drew PETA criticism?,Beyoncé
391,What type of magazine is L'Officiel?,Beyoncé
392,Which professor from Northeastern University wrote about how race correlates with these criticisms of Beyonce?,Beyoncé
393,Which company was accused of coloring Beyonce's hair?,Beyoncé
394,What did Vogue request?,Beyoncé
395,"In addition to her light skin color, what else has made part of the African American community criticize Beyoncé?",Beyoncé
396,"In 2007, which music professor said he believes this criticism does involve race as well?",Beyoncé
397,What advertisement was Beyoncé's skin supposedly lightened in?,Beyoncé
398,Whats the first year that Beyonce appear on the Time 100 list?,Beyoncé
399,Who said that she is the reigning national voice?,Beyoncé
400,Who stated that Beyoncé is the most important musician of the 21st century?,Beyoncé
401,Which publication named Beyoncé the Artist of the Decade?,Beyoncé
402,Who said Beyoncé is the heir-apparent diva of the United States?,Beyoncé
403,What year was Beyoncé featured both on the Time 100 list as well as the cover of the issue?,Beyoncé
404,Which rock band cited Beyonce on their third album?,Beyoncé
405,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""",Beyoncé
406,What about Beyonce has influenced many entertainers?,Beyoncé
407,Which Indie band said Beyoncé was an inspiration for one of hteir albums?,Beyoncé
408,What was the name of the White Rabbits' album?,Beyoncé
409,Who studied Beyoncé during live concerts for research for a film's music role?,Beyoncé
410,What was the name of the film that Gwyneth Paltrow starred in as a musician?,Beyoncé
411,Beyoncé's Pepsi commercial inspired which star to join Pepsi's global campaign in 2012?,Beyoncé
412,"How many Grammy awards did ""Crazy in Love"" win?",Beyoncé
413,How many did Crazy in Love sell to become one of the greatest selling singles in history?,Beyoncé
414,A place for Beyonce in the Rock and Roll Hall of fame was awarded when?,Beyoncé
415,Which of Beyonce's songs was called Greatest Song of the 2000s?,Beyoncé
416,How many Grammy awards did Crazy in Love get?,Beyoncé
417,How many copies did Crazy in Love sell?,Beyoncé
418,Who released the single Girls Love Beyonce?,Beyoncé
419,Which publication considers Crazy in Love to be one of the top 500 songs of all time?,Beyoncé
420,What did Bryan Lessard name after Beyoncé?,Beyoncé
421,"Totaling worldwide, how many records as Beyonce sold?",Beyoncé
422,How many certifications was Beyonce awarded by the RIAA?,Beyoncé
423,Who was the first female to achieve the International Artist Award at the American Music Awards?,Beyoncé
424,How many has she sold worldwide?,Beyoncé
425,How many music certifications has she received in the 2000s?,Beyoncé
426,How many records has Beyoncé sold in the United States?,Beyoncé
427,How many records has Beyoncé sold throughout the world?,Beyoncé
428,Who cited Beyoncé as being the top certified artist of the 2000s?,Beyoncé
429,How many certifications did RIAA give Beyoncé?,Beyoncé
430,When did Beyoncé receive the Legend Award?,Beyoncé
431,Beyonce has been awarded how many Grammy nominations?,Beyoncé
432,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,Beyoncé
433,How many Grammies has Beyonce won?,Beyoncé
434,How many Grammy nominations does Beyonce have?,Beyoncé
435,When did she set the record for most Grammy awards won in one night?,Beyoncé
436,How many Grammys has Beyoncé won?,Beyoncé
437,What movie had Beyoncé nominated as Best Actress for Golden Globe Awards?,Beyoncé
438,Which soda company has Beyonce partnered with since 2002?,Beyoncé
439,Pepsi paid Beyonce how much in 2012 for her endorsement?,Beyoncé
440,Which organization wrote a letter to Beyonce after her Pepsi endorsement deal?,Beyoncé
441,What percentage of people were positive about Beyonce's endorsement of Pepsi?,Beyoncé
442,When did Beyonce begin doing Pepsi advetisments?,Beyoncé
443,What did she agree to do for 50 million dollars in 2012?,Beyoncé
444,Who sent her a letter asking that she reconsider the Pepsi deal?,Beyoncé
445,What soft drink company has Beyoncé worked with since 2002?,Beyoncé
446,How much did Beyoncé get for a deal with a soft drink company in 2012?,Beyoncé
447,Who asked her to change her mind about the soft drink deal due to the nature of the product?,Beyoncé
448,"Beyonce worked with who on her perfumes, True Star and True Star Gold?",Beyoncé
449,The world's best selling celebrity perfume line belongs to whom?,Beyoncé
450,Beyonce's first fragrance had what name?,Beyoncé
451,The Mrs. Carter Show Limited Edition was released in what year?,Beyoncé
452,What was Beyonce's 2010  perfume called?,Beyoncé
453,"When was her second perfume, Heat Rush, released?",Beyoncé
454,Which Emporio Armani fragrance did Beyoncé promote in 2007?,Beyoncé
455,How many editions of Heat exist?,Beyoncé
456,How young was Beyonce when she acquired deals from American Express and L'Oreal?,Beyoncé
457,What was the name of the video game that was cancelled for Beyonce?,Beyoncé
458,When did Beyonce begin her deals with name brands?,Beyoncé
459,How many people lost jobs when Beyonce left the video game deal?,Beyoncé
460,How was the suit settled?,Beyoncé
461,What was the name of the video game?,Beyoncé
462,What video game did Beyoncé back out of?,Beyoncé
463,What company was producing the video game?,Beyoncé
464,When was the disagreement settled out of court?,Beyoncé
465,"After their agreement together, Beyonce's and Topshop"" new business was called what?",Beyoncé
466,Who did Beyonce partner with in London?,Beyoncé
467,Who did Beyoncé and Parkwood Entertainment partner with in October 2014?,Beyoncé
